,podium
0,15
1,6
2,4
3,1
4,7
5,9
6,23
7,18
8,2
9,21
10,26
11,22
12,16
13,17
14,25
15,19
16,20
17,3
18,12
19,5
20,10
21,11
22,8
23,24
24,14
25,13
26,22
27,3
28,23
29,4
30,17
31,25
32,9
33,11
34,8
35,19
36,10
37,14
38,12
39,20
40,13
41,5
42,6
43,18
44,16
45,15
46,21
47,1
48,2
49,26
50,24
51,7
52,1
53,3
54,23
55,7
56,22
57,2
58,12
59,18
60,24
61,16
62,4
63,17
64,13
65,26
66,8
67,5
68,11
69,25
70,6
71,9
72,10
73,20
74,15
75,21
76,14
77,19
78,3
79,16
80,1
81,2
82,13
83,26
84,11
85,14
86,15
87,10
88,4
89,6
90,24
91,19
92,12
93,7
94,21
95,22
96,17
97,8
98,25
99,18
100,23
101,5
102,9
103,20
104,3
105,16
106,14
107,4
108,1
109,2
110,15
111,9
112,13
113,11
114,19
115,10
116,6
117,20
118,7
119,18
120,8
121,17
122,12
123,5
124,1
125,2
126,17
127,4
128,19
129,26
130,21
131,3
132,5
133,11
134,6
135,25
136,9
137,18
138,15
139,8
140,14
141,24
142,16
143,22
144,23
145,7
146,12
147,20
148,10
149,13
150,17
151,4
152,26
153,23
154,11
155,1
156,24
157,16
158,21
159,7
160,14
161,2
162,8
163,6
164,22
165,18
166,9
167,13
168,19
169,5
170,3
171,20
172,10
173,25
174,12
175,15
176,1
177,5
178,22
179,3
180,12
181,2
182,9
183,16
184,4
185,14
186,24
187,13
188,17
189,25
190,7
191,26
192,8
193,15
194,23
195,6
196,19
197,11
198,21
199,18
200,20
201,10
202,5
203,3
204,1
205,26
206,22
207,2
208,24
209,18
210,8
211,21
212,7
213,25
214,11
215,6
216,23
217,13
218,15
219,4
220,17
221,12
222,16
223,19
224,14
225,9
226,10
227,20
228,22
229,1
230,2
231,13
232,4
233,15
234,18
235,3
236,20
237,19
238,23
239,10
240,21
241,9
242,6
243,24
244,25
245,14
246,8
247,7
248,12
249,11
250,5
251,26
252,17
253,16
254,16
255,2
256,5
257,3
258,1
259,17
260,23
261,4
262,20
263,22
264,15
265,24
266,14
267,6
268,8
269,12
270,9
271,21
272,13
273,7
274,18
275,25
276,26
277,19
278,11
279,10
280,17
281,2
282,24
283,18
284,21
285,9
286,4
287,25
288,16
289,1
290,19
291,5
292,13
293,8
294,3
295,7
296,20
297,6
298,22
299,12
300,14
301,26
302,15
303,10
304,11
305,23
306,25
307,4
308,2
309,1
310,19
311,26
312,3
313,5
314,17
315,23
316,8
317,6
318,20
319,7
320,21
321,11
322,24
323,16
324,9
325,10
326,13
327,15
328,22
329,18
330,14
331,12
332,25
333,7
334,3
335,1
336,9
337,16
338,10
339,2
340,8
341,22
342,5
343,6
344,24
345,4
346,21
347,20
348,19
349,11
350,14
351,23
352,12
353,26
354,15
355,18
356,13
357,17
358,16
359,3
360,1
361,22
362,18
363,5
364,13
365,24
366,2
367,25
368,20
369,11
370,4
371,6
372,21
373,17
374,23
375,15
376,7
377,9
378,10
379,8
380,14
381,12
382,19
383,26
384,3
385,23
386,10
387,1
388,14
389,13
390,15
391,5
392,2
393,17
394,12
395,4
396,22
397,11
398,16
399,26
400,21
401,9
402,19
403,6
404,18
405,25
406,24
407,7
408,21
409,18
410,19
411,14
412,2
413,25
414,7
415,1
416,3
417,11
418,16
419,17
420,6
421,5
422,20
423,26
424,10
425,4
426,22
427,8
428,24
429,23
430,9
431,15
432,1
433,3
434,4
435,2
436,5
437,16
438,25
439,24
440,9
441,23
442,18
443,7
444,14
445,17
446,19
447,26
448,21
449,15
450,6
451,22
452,11
453,13
454,20
455,8
456,14
457,1
458,24
459,4
460,20
461,2
462,18
463,7
464,15
465,22
466,3
467,6
468,19
469,25
470,21
471,17
472,26
473,23
474,13
475,5
476,10
477,11
478,12
479,8
480,2
481,5
482,23
483,6
484,7
485,3
486,16
487,25
488,1
489,20
490,4
491,8
492,19
493,11
494,22
495,18
496,9
497,21
498,17
499,24
500,13
501,26
502,14
503,15
504,1
505,13
506,3
507,6
508,18
509,19
510,20
511,11
512,14
513,4
514,5
515,12
516,2
517,10
518,16
519,8
520,15
521,17
522,7
523,1
524,3
525,4
526,14
527,5
528,25
529,6
530,2
531,7
532,17
533,11
534,8
535,26
536,20
537,21
538,18
539,22
540,19
541,24
542,9
543,12
544,16
545,13
546,15
547,1
548,4
549,14
550,7
551,2
552,9
553,19
554,18
555,11
556,13
557,6
558,16
559,15
560,25
561,23
562,10
563,17
564,21
565,5
566,12
567,8
568,26
569,3
570,24
571,6
572,3
573,22
574,2
575,9
576,14
577,10
578,1
579,12
580,17
581,7
582,16
